country,dataset_key,dataset_party_id,name_short,name,name_english,year_first,year_last,external_id,partyfacts_id
ALB,manifesto,75810,PASH,Partia Agrare e Shqipërisë,Agrarian Party of Albania,1991,2001,1789,840
ALB,manifesto,75722,PRSH,Partia Republikane Shqiptare,Albanian Republican Party,1991,1997,1853,819
ALB,manifesto,75220,PPS,Partia Socialiste e Shqipërisë,Albanian Socialist Party,1991,2001,1715,1729
ALB,manifesto,75421,AD,Partia Aleanca Demokratike,Democratic Alliance Party,1992,2001,1778,594
ALB,manifesto,75624,PD,Partia Demokratike e Shqipërisë,Democratic Party of Albania,1991,1997,1533,190
ALB,manifesto,75623,PLL,Partia Lëvizja e Legalitetit,Legality Movement Party,1991,1997,1786,732
ALB,manifesto,75622,PUK,Partia e Unitetit Kombëtar,Party of National Unity,1992,1992,1949,2571
ALB,manifesto,75621,PP,Partia Popullore,People’s Party,1991,1991,1448,2571
ALB,manifesto,75320,PSD,Partia Socialdemokrate ë Shqipërisë,Social Democratic Party of Albania,1991,2001,1649,838
ALB,manifesto,75951,OMONIA,Partia Bashkimi për të Drejtat e Njeriut,Union for Human Rights Party,1991,2001,1718,1636
ALB,manifesto,75721,BK,E Djatha e Bashkuar e Shqipërisë,United Albanian Right,1996,1997,1914,674
ARG,manifesto,150601,AR,Acción por la República,Action for the Republic,1999,1999,25032,6112
ARG,manifesto,150032,ALIANZA,"Alianza pol el Trabajo, la Justiciay la Educación","Aliance for Work, Justice, and Education",1999,1999,25076,6116
ARG,manifesto,150061,,Alianza Unión-PRO,Alliance Union-PRO,2009,2009,18750,1790
ARG,manifesto,150210,ARI,Alternativa para una República de Iguales,Alternative for a Republic of Equals,2003,2003,18682,1215
ARG,manifesto,150031,UNA,Una Nación Avanzada,An Advanced Union,2007,2007,18710,3889
ARG,manifesto,150026,FAP,Frente Amplio Progressista,Broad Progressive Front,2011,2013,15494,6161
ARG,manifesto,150040,,Allianza de Centro,Center Alliance,1989,1989,25049,3889
ARG,manifesto,150023,CC,Coalición Cívica,Civic Coalition,2007,2007,18734,6159
ARG,manifesto,150301,UCR,Unión Cívica Radical,Civic Radical Union,1989,2013,15521,1724
ARG,manifesto,150027,FREJULI,Compromiso Federal,Federal Commitment,2007,2011,18711,1863
ARG,manifesto,150202,FREPASO,Frente para un País Solidario,Front for a Country in Solidarity,1995,1995,25054,5553
ARG,manifesto,150022,FPL + UCeDé,Frente por la Lealtad y Unión del Centro Democrático,Front for Loyalty and Union of the Democratic Centre,2003,2003,18749,4182
ARG,manifesto,150025,FpV,Frente para la Victoria,Front for Victory,2003,2013,15477,2530
ARG,manifesto,150205,MP,Frente del Movimiento Popular,Front of the popular movement,2003,2003,18686,3889
ARG,manifesto,150222,,Es posible,It is possible,2009,2009,18732,2580
ARG,manifesto,150028,,Concertación Justicialista para el Cambio,Justicialist Coalition for Change,1999,1999,25035,3889
ARG,manifesto,150201,PJ,Partido Justicialista,Justicialist Party,1995,1995,25074,623
ARG,manifesto,150029,FREJUPO,Frente Justicialista de Unidad Popular,Justicialist Party of Popular Unity,1989,1989,25065,3889
ARG,manifesto,150221,MPN,Moviemiento Popular Neuquino,Neuquén People's Movement,2009,2009,18735,868
ARG,manifesto,150220,,Nuevo Encuentro,New Encounter,2009,2009,18698,6088
ARG,manifesto,150230,,Frente Popular,Popular Front,2011,2011,18670,5086
ARG,manifesto,150401,RECREAR,Recrear para el Crecimiento,Recreate for Growth,2003,2003,18731,1116
ARG,manifesto,150024,ACyS,Acuerdo Cívico y Social,Social and Civic Agreement,2009,2009,18729,3889
ARM,manifesto,76041,HAK,Hay Azgayin Kongres,Armenian National Congress,2012,2012,15504,4539
ARM,manifesto,76321,HHD,Hay Heghapokhakan Dashnaktsutyun,Armenian Revolutionary Federation,1999,2012,3767,2020
ARM,manifesto,76222,HKK,Hayastani Komunistakan Kusaktsutyun,Communist Party of Armenia,1995,1999,3700,2018
ARM,manifesto,76430,,Zharangutyun,Heritage,2007,2012,15534,3783
ARM,manifesto,76421,A,Ardarutyun,Justice,2003,2003,3629,2008
ARM,manifesto,76712,AZhM,Azgayin Zhoghovrdakan Miutyun,National Democratic Union,1995,1999,3739,2009
ARM,manifesto,76521,AIM,Azgayin Inknoroshum Miavorum,National Self-Determination Union,1995,1995,3755,2010
ARM,manifesto,76904,AM,Azgayin Miabanutyun,National Unity Party,2003,2003,3641,2011
ARM,manifesto,76620,BHK,Bargavadj Hayastan Kusaktsutyun,Prosperous Armenia,2007,2012,15497,4205
ARM,manifesto,76711,HA,Hanrapetutyun,Republic,1995,1995,3634,2012
ARM,manifesto,76610,HHK,Hayastani Hanrapetakan Kusaktsutyun,Republican Party of Armenia,2003,2012,3751,2013
ARM,manifesto,76902,IM,Iravunk ev Miabanutyun,Right and Unity,1999,1999,3761,3890
ARM,manifesto,76420,OEK,Orinats' Yerkir,Rule of Law,1999,2012,3691,2007
ARM,manifesto,76901,,Shamiram,Semiramis (Women’s Movement),1995,1995,3624,2015
ARM,manifesto,76322,MAK,Miavorvac Ashkhatankayin Kusaktsutyun,United Labour Party,2003,2003,3729,2016
ARM,manifesto,76903,M,Miasnutyun,Unity,1999,1999,3568,2013
AUS,manifesto,63321,AD,Australian Democrats,Australian Democrats,1990,2001,1414,990
AUS,manifesto,63110,,Australian Greens,Australian Greens,2004,2016,3763,1209
AUS,manifesto,63320,ALP,Australian Labor Party,Australian Labor Party,1946,2016,1980,424
AUS,manifesto,63622,CLP,Country Liberal Party,Country Liberal Party,2013,2013,15499,143
AUS,manifesto,63330,ALP-AC,Democratic Labor Party,Democratic Labor Party,1955,1977,2027,1540
AUS,manifesto,63710,KAT,Katter's Australian Party,Katter's Australian Party,2013,2016,15496,1997
AUS,manifesto,63621,LNP,Liberal National Party of Queensland,Liberal National Party of Queensland,2010,2016,3668,285
AUS,manifesto,63620,LPA,Liberal Party of Australia,Liberal Party of Australia,1946,2016,1851,486
AUS,manifesto,63810,CP,National Party of Australia,National Party of Australia,1946,2016,1831,1743
AUS,manifesto,63901,NXT,Nick Xenophon Team,Nick Xenophon Team,2016,2016,29061,5453
AUS,manifesto,63410,PUP,Palmer United Party,Palmer United Party,2013,2013,15468,1996
AUT,manifesto,42710,BZÖ,Bündnis Zukunft Österreich,Alliance for the Future of Austria,2006,2008,3710,599
AUT,manifesto,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2002,2008,1408,996
AUT,manifesto,42420,VdU,Freiheitliche Partei Österreichs,Austrian Freedom Party,1949,2017,1656,463
AUT,manifesto,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,1949,2017,1913,1329
AUT,manifesto,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,1949,2017,1711,1384
AUT,manifesto,42421,LIF,Liberales Forum,Liberal Forum,1994,1995,1875,605
AUT,manifesto,42120,PILZ,Liste Peter Pilz,Peter Pilz List,2017,2017,29053,6137
AUT,manifesto,42951,TS,Team Stronach für Österreich,Team Stronach for Austria,2013,2013,25061,1971
AUT,manifesto,42110,GA,Die Grünen,The Greens,1986,2017,2007,1659
AUT,manifesto,42430,NEOS,Das Neue Österreich und Liberales Forum,The New Austria and Liberal Forum,2013,2017,25047,1970
AZE,manifesto,77430,ADPS,Azərbaycan Demokratik Sahibkarlar Partiyası,Azerbaijan Democratic Entrepeneurs Party,1995,1995,3777,1990
AZE,manifesto,77710,AMİP,Azərbaycan Milli İstiqlal Partiyası,Azerbaijan National Independence Party,1995,2000,3693,1991
AZE,manifesto,77420,AXC,Azərbaycan Xalq Cebhesi,Azerbaijan Popular Front,1995,2000,3626,1992
AZE,manifesto,77221,AVKP,Azərbaycan Vahid Kommunist Partiyası,Azerbaijan United Communist Party,2000,2000,3619,1993
AZE,manifesto,77951,VHP,Vatandas Hamrayliyi Partiyası,Civil Solidarity Party,2000,2000,3563,1994
AZE,manifesto,77220,YAP,Yeni  Azərbaycan Partiyası,New Azerbaijan Party,1995,2000,3779,1995
BLR,manifesto,78212,APB,Agrarnaya Partiya Belarusi,Agrarian Party of Belarus,1995,1995,3663,2037
BLR,manifesto,78214,BPR,Belaruski Patryatychny Rukh,Belarusan Patriotic Movement,1995,1995,3721,2036
BLR,manifesto,78213,BKhP,Belaruskaya Syalanskaya Partiya,Belarusan Peasants' Party,1995,1995,3576,2606
BLR,manifesto,78710,BSDP,Belaruskaja Sacyjal-Demakratychnaya Partiya ‘Hramada’,Belarusian Social-Democratic Party ‘Hramada’,1995,1995,3732,2035
BLR,manifesto,78211,PKB,Partiya Komunistau Belaruskaya,Party of Communists of Belarus,1995,1995,3682,2030
BLR,manifesto,78410,PNZ,Partiya Narodnaya Zgody,Party of People’s Consent,1995,1995,3587,2606
BLR,manifesto,78901,BPZ-N,Belaruskaya Partiya Zhanchyn ‘Nadzeya',Party of Women ‘Nadzeja’,1995,1995,3566,2606
BLR,manifesto,78430,ADPB,Abyadnanya Demakratychnaya Partiya Belarusi,United Democratic Party of Belarus,1995,1995,3704,2033
BEL,manifesto,21320,BSP/PSB,Belgische Socialistische Partij/Parti Socialiste Belge,Belgian Socialist Party,1946,1977,1691,480
BEL,manifesto,21521,CVP,Christen-Democratisch en Vlaams,Christian Democratic and Flemish,1968,2010,1679,622
BEL,manifesto,21522,PSC,Parti Social Chrétien,Christian Social Party,1968,2010,1966,633
BEL,manifesto,21111,ECOLO,Écologistes Confédérés pour l’Organisation de Luttes Originales,Ecologists,1981,2010,1740,1563
BEL,manifesto,21914,VB,Vlaams Blok,Flemish Bloc,1978,2003,1484,553
BEL,manifesto,21917,VB,Vlaams Belang,Flemish Interest,2007,2010,3738,1968
BEL,manifesto,21520,PSC/CVP,Parti Social Chrétien/Christelijke Volkspartij,Francophone Christian Social Party and Flemish Christian People’s Party,1946,1965,1744,405
BEL,manifesto,21912,FDF,Front Démocratique Francophones,Francophone Democratic Front of Francophones,1965,1991,1935,698
BEL,manifesto,21322,PS,Parti Socialiste,Francophone Socialist Party,1978,2010,1680,500
BEL,manifesto,21112,AGALEV,Groen!,Green!,1981,2010,1776,528
BEL,manifesto,21424,PL,Parti Libéral,Liberal Party,1971,1978,1440,382
BEL,manifesto,21422,PLP,Parti Réformateur Libéral,Liberal Reformation Party,1971,1991,1928,554
BEL,manifesto,21423,PRL-FDF,Parti Réformateur Libéral - Front Démocratique des Francophones,Liberal Reformation Party - Francophone Democratic Front,1995,1995,1967,8259
BEL,manifesto,21425,PRL-FDF-MCC,Parti réformateur libéral - Front Démocratique des Francophones - Mouvement des Citoyens pour la Changement,Liberal Reformation Party - Francophone Democratic Front - Citizens’ Movement for Change,1999,1999,1774,554
BEL,manifesto,21430,LDD,Lijst Dedecker,List Dedecker,2007,2010,3728,43
BEL,manifesto,21916,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,2003,2010,3694,36
BEL,manifesto,21421,PVV,Open Vlaamse Liberalen en Demokraten,Open Flemish Liberals and Democrats,1971,2010,1580,49
BEL,manifesto,21420,LP/PL,Partij voor Vrijheid en Vooruitgang/Parti de la Liberté et du Progrès,Party of Liberty and Progress,1946,1968,2031,275
BEL,manifesto,21913,CVV,De Volksunie,Peoples’ Union,1954,1995,1623,1424
BEL,manifesto,21915,VU-ID21,De Volksunie –Integrale Democratie voor de 21ste Eeuw,People’s Union - Complete Democracy for the 21st century,1999,1999,1953,1424
BEL,manifesto,21426,MR,Mouvement Réformateur,Reform Movement,2003,2010,3640,789
BEL,manifesto,21321,SP,Socialistische Partij Anders,Socialist Party Different,1978,2010,1410,1680
BEL,manifesto,21221,sp.a-SPIRIT,Socialistische Partij Anders - Spirit,Socialist Party Different - Spirit,2003,2007,3744,1586
BEL,manifesto,21330,SPIRIT,"Sociaal, Progressief, International, Regionalistisch, Integraal-democratisch en Toekomstgericht","Social, Progressive, International, Regionalist, Integrally Democartic  and Forward-Looking",2007,2007,3661,7015
BEL,manifesto,21911,RW,Rassemblement Wallon,Walloon Rally,1968,1981,1904,281
BOL,manifesto,151617,APB,Autonomía para Bolivia,Autonomy for Bolivia,2009,2009,25037,1880
BOL,manifesto,151540,PDC,Partido Demócrata Cristiano,Christian Democratic Party,2014,2014,18706,5139
BOL,manifesto,151640,UN,Unidad Democráta,Democratic Union,2009,2014,18704,3903
BOL,manifesto,151250,MAS-IPSP,Movimiento Al Socialismo - Instrumento Político por la Soberanía de los Pueblos,Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,2009,2014,18721,442
BOL,manifesto,151610,MNR,Movimiento Nacionalista Revolucionario,Nationalist Revolutionary Movement,2009,2009,25033,568
BOL,manifesto,151062,PPB-CN,Plan Progreso para Bolivia–Convergencia Nacional,Plan Progress for Bolivia – National Convergence,2009,2009,25044,1700
BOL,manifesto,151255,AS,Alianza Social,Social Alliance,2009,2009,25080,715
BIH,manifesto,79610,SBB BiH,Savez za bolju budućnost Bosne i Hercegovine,Alliance for a Better Future of Bosnia and Herzegovina,2010,2014,18689,3171
BIH,manifesto,79730,SNSD,Savez nezavisnih socijaldemokrata,Alliance of Independent Social Democrats,2002,2014,18693,292
BIH,manifesto,79222,SRSJ,Savez reformskih snaga Jugoslavije,Alliance of Reform Forces of Yugoslavia,1990,1990,2040,1153
BIH,manifesto,79957,BPS,Bosanskohercegovacka Patriotska Stranka,Bosnian-Herzegovinian Patriotic Party,2006,2006,25068,3683
BIH,manifesto,79421,KCD BiH,Koalicija za cjelovitu i demokratsku Bosnu i Hercegovinu,Coalition for a United and Democratic Bosnia and Herzegovina,1998,1998,1954,1340
BIH,manifesto,79956,HDZ 1990,Hrvatska demokratska zajednica 1990,Croatian Democratic Union 1990,2006,2014,18728,3168
BIH,manifesto,79953,HDZ BiH,Hrvatska demokratska zajednica Bosne i Hercegovine,Croatian Democratic Union of Bosnia and Herzegovina,1990,2014,1734,1760
BIH,manifesto,79322,DF,Demokratska fronta,Democratic Front,2014,2014,18709,4717
BIH,manifesto,79901,DNZ BiH,Demokratska narodna zajednica Bosne i Hercegovine,Democratic Peoples’ Union of Bosnia and Herzegovina,2000,2000,2043,1159
BIH,manifesto,79221,SK BiH-SDP,Savez komunista Bosne i Hercegovine-Socijalistička demokratska partija,League of Communists of Bosnia and Herzegovina-Social Democratic Party,1990,1990,1477,1
BIH,manifesto,79954,MBO,Muslimanska bošnjačka organizacija,Muslim-Bosniac Organization,1990,1990,1411,2623
BIH,manifesto,79423,NHI,Nova hrvatska inicijativa,New Croation Initiative,2000,2000,1636,1721
BIH,manifesto,79723,SBiH,Stranka za Bosnu i Hercegovinu,Party for Bosnia and Herzegovina,1996,2010,1878,357
BIH,manifesto,79951,SDA,Stranka demokratske akcije,Party of Democratic Action,1990,2014,1836,1454
BIH,manifesto,79422,PDP RS,Partija demokratskog progresa Republike Srpske,Party of Democratic Progress of the Republika Srpska,2000,2006,1773,1673
BIH,manifesto,79722,RS RS,Radikalna stranka Republike Srpske,Radical Party of the Republika Srpska,1998,1998,1736,2623
BIH,manifesto,79955,SDS,Srpska demokratska stranka,Serbian Democratic Party,1990,2014,1630,1166
BIH,manifesto,79721,SRS RS,Srpska radikalna stranka Republike Srpske,Serbian Radical Party of the Republika Srpska,1998,1998,1685,1222
BIH,manifesto,79321,SDP BiH,Socijaldemokratska partija Bosne i Hercegovine,Social Democratic Party of Bosnia and Herzegovina,1998,2014,1940,537
BIH,manifesto,79223,SPRS,Socijalistička partija Republike Srpske,Socialist Party of the Republika Srpska,1996,1996,1835,998
BRA,manifesto,180310,,Coligação Grande Aliança,Coalition Big Alliance,1994,2014,15498,3906
BRA,manifesto,180230,,Coligação a Força do Povo,Coalition the People's Power,1989,2014,15493,3906
BRA,manifesto,180110,PV,Partido Verde,Green Party,2010,2010,18738,547
BRA,manifesto,180320,,Coligação Frente Trabalhista,Labour Front Coalition,2002,2002,25063,3906
BRA,manifesto,180231,,Frente de Esquerda,Left Front,2006,2006,18696,3906
BRA,manifesto,180410,,Movimento Brasil Novo,New Brazil Movement,1989,1989,29052,4410
BRA,manifesto,180309,PSDB,Partido da Social Democracia Brasileira,Party of Brazilian Social Democracy,1989,1989,29055,225
BRA,manifesto,180710,PRONA,Partido da Reedificação da Ordem Nacional,Party of the Reconstruction of the National Order,1994,1994,25070,4404
BRA,manifesto,180232,PPS,Partido Popular Socialista,Socialst People's Party,1998,1998,25038,267
BRA,manifesto,180240,,Unidos pelo Brasil,United for Brazil,2002,2014,18722,3906
BGR,manifesto,80330,ABV,Alternativa za balgarsko vazrazhdane,Alternative for Bulgarian Revival,2014,2014,25050,3187
BGR,manifesto,80051,SK,Sinyata Koalitsiya,Blue Coalition,2009,2009,3653,58
BGR,manifesto,80810,BZNS,Balgarski Zemedelski Naroden Sayuz,Bulgarian Agrarian National Union,1990,1990,1604,2060
BGR,manifesto,80812,BZNS-AS,Balgarski Zemedelski Naroden Sayuz - Aleksandar Stambolijski,Bulgarian Agrarian People’s Union - Alexandar Stambolijski,1994,1994,1803,2635
BGR,manifesto,80901,BBB,Balgarski Biznes Blok,Bulgarian Business Bloc,1994,1997,1493,1027
BGR,manifesto,80813,BNS,Balgarski Naroden Sayuz,Bulgarian People's Union,2005,2005,3590,263
BGR,manifesto,80220,BSP,Balgarska Socialisticheska Partiya,Bulgarian Socialist Party,1990,2013,1524,757
BGR,manifesto,80630,BBZ,Balgariya bez tsenzura,Bulgaria without Censorship,2014,2014,25045,3188
BGR,manifesto,80510,GERB,Grazhdani za Evropeisko Razvitie Balgariya,Citizens for European Development of Bulgaria,2009,2017,3637,760
BGR,manifesto,80221,KzB,Koaliciya za Balgariya,Coalition for Bulgaria,2001,2017,1570,1665
BGR,manifesto,80228,BSP-BZNS-AS-PKE,"Koalitsiya na Balgarska Sotsialisticheska Partiya, Balgarski Zemedelski Naroden Sayuz - Aleksandar Stambolijski i Politicheski klub 'Ekoglasnost'","Coalition of Bulgarian Socialist Party, Bulgarian Agrarian People’s Union - Alexandar Stambolijski and Political Club 'Ekoglasnost'",1991,1994,1782,1665
BGR,manifesto,80229,DL,Demokratichna Levitsa,Democratic Left,1997,1997,2012,1665
BGR,manifesto,80610,DSB,Demokrati za Silna Balgariya,Democrats for a Strong Bulgaria,2005,2005,3781,1195
BGR,manifesto,80320,KEL,Koalitsiya Evrolevitsa,Euroleft Coalition,1997,1997,1657,149
BGR,manifesto,80951,DPS,Dvizhenie za Prava i Svobodi,Movement for Rights and Freedoms,1990,2017,1409,982
BGR,manifesto,80902,NDSV,Nacionalno Dvizhenie Simeon Vtori,National Movement Simeon the Second,2001,2005,1775,374
BGR,manifesto,80710,ATAKA,Nacionalno Obedinenie Ataka,National Union Attack,2005,2014,3646,1793
BGR,manifesto,80620,RZS,"Red, Zakonnost i Spravedlivost","Order, Law and Justice",2009,2009,3754,272
BGR,manifesto,80062,,Patriotichen front - NFSB i VMRO,Patriotic Front - NFSB and VMRO,2014,2014,25086,5649
BGR,manifesto,80811,NS,Naroden Sayuz,People’s Union,1994,1994,1609,747
BGR,manifesto,80110,PKE,Politicheski klub ‘Ekoglasnost',Political Club ‘Ekoglasnost',1994,1997,1516,820
BGR,manifesto,80061,,Reformatorski blok,Reformist bloc,2014,2014,25075,3189
BGR,manifesto,80410,SDS,Sayuz na Demokratichnite Sili,Union of Democratic Forces,1990,1994,1770,482
BGR,manifesto,80952,ONS,Obedinenie za Natsionalno Spasenie,Union of National Salvation,1997,1997,1603,1765
BGR,manifesto,80411,ODS,Obedineni Demokratichni Sili,United Democratic Forces,1997,2005,1592,1183
BGR,manifesto,80071,OP,Obedineni Patrioti,United Patriots,2017,2017,25051,6115
BGR,manifesto,80640,,Volya,Will,2017,2017,25081,5863
CAN,manifesto,62622,CA,Canadian Reform Conservative Alliance,Canadian Reform Conservative Alliance,2000,2000,1437,1332
CAN,manifesto,62623,CP,Conservative Party of Canada,Conservative Party of Canada,2004,2015,3760,1004
CAN,manifesto,62110,,Green Party,Green Party,2008,2015,3645,931
CAN,manifesto,62420,LP,Liberal Party of Canada,Liberal Party of Canada,1945,2015,1763,1739
CAN,manifesto,62320,CCF,New Democratic Party,New Democratic Party,1945,2015,1929,152
CAN,manifesto,62620,PCP,Progressive Conservative Party,Progressive Conservative Party,1945,2000,1455,232
CAN,manifesto,62901,BQ,Bloc Québécois,Quebec Bloc,1993,2015,1638,1428
CAN,manifesto,62621,RPC,Reform Party of Canada,Reform Party of Canada,1993,1997,1745,1757
CAN,manifesto,62951,Socred,Social Credit,Social Credit,1945,1974,1575,1156
CHL,manifesto,155061,,Chile Vamos,Chile let's go,1989,2013,15469,6061
CHL,manifesto,155021,,Concertación de Partidos por la Democracia,Concert of Parties for Democracy,1989,2013,15508,4550
CHL,manifesto,155024,,"Si tú quieres, Chile cambia","If you want it, Chile changes",2013,2013,18694,7074
CHL,manifesto,155601,UDI,Unión Demócrata Independiente,Independent Democratic Union,2005,2005,18666,1599
CHL,manifesto,155620,UCC,Liberal-Socialista Chileno,Liberal-Socialists of Chile,1989,1989,18673,6
CHL,manifesto,155602,RN,Renovación Nacional,National Renewal,2005,2005,18688,928
CHL,manifesto,155023,,Nueva Mayoría para Chile,New Majority for Chile,2009,2009,18754,3915
CHL,manifesto,155025,PODEMOS,Juntos-Podemos-Más por Chile,Together we can do more for Chile,2005,2009,15516,4549
HRV,manifesto,81460,MOST,Most nezavisnih lista,Bridge of Independent Lists,2015,2016,18752,4865
HRV,manifesto,81043,,Koalicija za Premijera,Coalition for Prime Minister,2016,2016,25079,3918
HRV,manifesto,81420,KNS,Koalicija narodnog sporazuma,Coalition of People’s Accord,1990,1990,1958,3643
HRV,manifesto,81041,HSS-HSLS-PGS,Koalicija Hrvatske seljačke stranke i Hrvatske socijalno-liberalne stranke i Primorsko-Goranski Savez,"Coalition of the Croatian Peasant Party, the Croatian Social-liberal Party and the Primorian-Goranski Union",2007,2007,3681,3918
HRV,manifesto,81042,HSLS-DC,Koalicija Hrvatske socijalno-liberalne stranke i Demokratskog centra,Coalition of the Croatian Social-liberal Party and the Democratic Centre,2003,2003,3592,214
HRV,manifesto,81021,SDP-HSLS,Koalicija Socijaldemokratske partije Hrvatske i Hrvatske socijalno-liberalne stranke,Coalition of the Social Democratic Party of Croatia and the Croatian Social-liberal Party,2000,2000,3597,1475
HRV,manifesto,81959,DA-IDS-RDS,"Koalicija Dalmatinska akcija, Istarski demokratski savez i Riječki demokratski savez","Coalititon of Dalmatian Action, Istrian Democratic Assembly and Democratic Alliance of Rijeka",1992,1992,1548,3918
HRV,manifesto,81952,HDSSB,Hrvatski demokratski savez Slavonije i Baranje,Croatian Democratic Assembly of Slavonia and Baranja,2007,2015,3762,2347
HRV,manifesto,81711,HDZ,Hrvatska demokratska zajednica,Croatian Democratic Union,1990,2016,1574,1431
HRV,manifesto,81430,HND,Hrvatski nezavisni demokrati,Croatian Independent Democrats,1995,1995,1514,3135
HRV,manifesto,81230,HL,Hrvatski laburisti - stranka rada,Croatian Labourists - Labour Party,2011,2011,3741,214
HRV,manifesto,81957,HSU,Hrvatska stranka umirovljenika,Croatian Party of Pensioners,2003,2003,3582,2062
HRV,manifesto,81713,HSP,Hrvatska stranka prava,Croatian Party of Rights,1992,2003,2014,253
HRV,manifesto,81956,SBHS,Slavonsko-Baranjska Hrvatska stranka,Croatian Party of Slavonia and Baranja,1995,1995,2004,8037
HRV,manifesto,81810,HSS,Hrvatska seljačka stranka,Croatian Peasant Party,1992,2011,1412,72
HRV,manifesto,81712,HNS,Hrvatska narodna stranka - liberalni demokrati,Croatian People’s Party - Liberal Democrats,1992,2007,1784,799
HRV,manifesto,81410,HSLS,Hrvatska socijalno-liberalna stranka,Croatian Social-Liberal Party,1992,1995,1508,214
HRV,manifesto,81954,DA,Dalmatinska akcija,Dalmatian Action,1992,1992,2015,8606
HRV,manifesto,81955,RiDS,Riječki demokratski savez,Democratic Alliance of Rijeka,1992,1992,1617,3133
HRV,manifesto,81091,,Istra je jaka,Even Stronger Istria Coalition,2015,2016,18676,3918
HRV,manifesto,81112,ZAS,Zelena akcija – Split,Green Action of Split,1990,1990,1759,2524
HRV,manifesto,81111,SZH,Savez Zelenih Hrvatske,Green Alliance of Croatia,1990,1990,1551,2651
HRV,manifesto,81960,,Živi zid,Human Shield,2015,2015,18699,4867
HRV,manifesto,81910,SDSS,Samostalna demokratska srpska stranka,Independent Democratic Serbian Party,2003,2011,3746,2348
HRV,manifesto,81440,,Nezavisna lista Ivana Grubišića,Independent List of Ivan Grubišić,2011,2011,3614,2523
HRV,manifesto,81953,IDS,Istarski demokratski sabor,Istrian Democratic Assembly,1992,2007,1465,513
HRV,manifesto,81899,ZL,Zajednica lista,Joint List Bloc,1995,1995,1907,3648
HRV,manifesto,81229,SKH-SDP-SSH,Savez komunista Hrvatske - Stranka demokratskih promjena i Socijalistička stranka Hrvatske,League of Communists of Croatia - Party of Democratic Changes and Socialist Party of Croatia,1990,1990,1797,4078
HRV,manifesto,81411,LS,Liberalna stranka,Liberal Party,2000,2003,3603,381
HRV,manifesto,81961,,Milan Bandić 365 - Stranka rada i solidarnosti,Milan Bandić 365 - The Party of Labour and Solidarity,2015,2015,18745,5452
HRV,manifesto,81061,,Domoljubna koalicija,Patriotic Coalition,2015,2015,18743,8608
HRV,manifesto,81032,Kukuriku,Narodna koalicija,People's coalition,2011,2016,3575,2522
HRV,manifesto,81450,,Narodna stranka - Reformisti,People's Party - Reformists,2015,2015,18685,4866
HRV,manifesto,81951,SNS,Srpska narodna stranka,Serbian People’s Party,1992,1992,1720,2525
HRV,manifesto,81223,SDP,Socijaldemokratska partija Hrvatska,Social Democratic Party of Croatia,1995,2007,1542,1475
HRV,manifesto,81220,SKH-SDP,Socijaldemokratska Stranka Hrvatske-Stranka demokratskih promjena,Social Demokratic Party of Croatia - Party of Democratic Changes,1990,1995,1430,1475
HRV,manifesto,81221,SSH,Socijalistička stranka Hrvatske,Socialist Party of Croatia,1990,1990,1614,2524
HRV,manifesto,81022,,Koalicija Jedina opcija,The Only Option Coalition,2016,2016,25042,8628
HRV,manifesto,81222,SSOH,Savez socijalističke omladine Hrvatske,Union of Socialist Youth of Croatia,1990,1990,1639,2524
CYP,manifesto,55340,SYPOL,Simmachía Politón,Citizens' Alliance,2016,2016,25057,3117
CYP,manifesto,55711,DISY,Dimokratikós Synagermós,Democratic Coalition,1996,2016,1652,563
CYP,manifesto,55422,DiKo,Dimokratikó Kómma,Democratic Party,1996,2016,1434,635
CYP,manifesto,55430,EVROKO,Evropaikó Kómma,European Party,2006,2011,15542,1817
CYP,manifesto,55423,KED,Kinima ton Eleftheron Dimokratikon,Free Democrats Movement,1996,1996,2055,321
CYP,manifesto,55421,KF,Komma Fileleftheron,Liberal Party,1996,1996,1442,2654
CYP,manifesto,55110,,Kinima Ikologon - Sinergasia Politón,Movement of Ecologists - Citizens' Cooperation,2006,2016,15524,858
CYP,manifesto,55720,ELAM,Ethniko Laiko Metopo,National Popular Front,2016,2016,25040,1013
CYP,manifesto,55321,AKEL,Anorthotikó Kómma Ergazómenou Laóu,Progressive Party of the Working People,1996,2016,2053,1076
CYP,manifesto,55610,KA,Kinima Allileggiis,Solidarity Movement,2016,2016,25073,4883
CYP,manifesto,55322,EDEK,Ethniki Demokratiki Enosi Kyprou,United Democratic Union of Cyprus,1996,2016,1768,321
CZE,manifesto,82430,ANO,ANO 2011,ANO 2011,2013,2017,15482,2141
CZE,manifesto,82710,SPR-RSČ,Sdruženi pro republiku - Republikánská strana Československa,Association for the Republic – Republican Party of Czechoslovakia,1992,2002,1618,1657
CZE,manifesto,82529,KDU,Křest'anská a demokratická unie,Christian and Democratic Union,1990,1990,1817,676
CZE,manifesto,82523,KDU-ČSL,Křest'anská a demokratická unie - Česká strana lidová,Christian and Democratic Union - Czech People's Party,1992,2017,1404,676
